,datetime,shape,duration (seconds),comments,latitude,longitude ,date,time
55347,7/1/1995 09:00,circle,600,Large round disc hovering only 400 to 500 feet off the ground with glass dome on top,40.8163889,-79.5222222,1995,09:00
61617,7/4/1995 23:00,triangle,900,Driving down road my family noticed object above trees that I could not imediatly discern&#44 as I started to turn onto our street it came,28.2438889,-82.7194444,1995,23:00
55351,7/1/1995 22:00,triangle,30,Large triangle with pulsing light over Wisconsin,44.1858333,-88.4625,1995,22:00
74686,9/15/1995 22:00,disk,420.0,UFO in sky with light blinking independent ring of light disk saucer shape,33.9319444,-117.9452778,1995,22:00
39465,4/28/1995 02:45,triangle,300,A  pitch black triangular shaped craft with a red circular light at each point of the triangle.,35.1980556,-111.6505556,1995,02:45
72025,8/7/1995 17:00,disk,180.0,6 witnesses&#44 one goes into complete denial&#44 occurs in a populated urban environment.,35.1494444,-90.0488889,1995,17:00
53591,6/5/1995 20:00,triangle,300,TRIANGULAR SHAPED OBJECT MOVING TOWARDS ME THINKING IT IS A AIRPLANE I WAS LOOKING TO GET A GOOD LOOK IT WAS VERY LOW HEARD NO SOUND FL,41.7605556,-88.32,1995,20:00
12679,11/24/1995 18:00,disk,25,large saucer object with red and green light over highway that sped away at unbelievable speeds.,42.8691667,-84.9030556,1995,18:00
59582,7/25/1995 19:00,circle,300,What I saw was huge it flew over my apartment complex it was bigger than the complex itself... it had so much detail that it scared the,32.6400000,-117.0833333,1995,19:00
56812,7/15/1995 20:00,circle,300,White dot over a corn field.,40.1083333,-83.7525,1995,20:00
18774,12/18/1995 21:00,triangle,300,Trinagular Object,32.3413889,-90.3216667,1995,21:00
10894,1/1/1995 21:00,triangle,600,120-140 ft&#44 X 35-40 ft&#44 X 30 ft&#44 triangler craft&#44 metalic colored&#44 4 lights directly down the center with 2 strobes and 3 very large li,32.2216667,-110.9258333,1995,21:00
39466,4/28/1995 09:30,triangle,300,Triangle Flotation,42.9633333,-85.6680556,1995,09:30
10890,1/1/1995 06:00,triangle,8,something i never want to see again atleast not this close. 500 Lights On Object0: Yes,34.9675000,-82.4436111,1995,06:00
10892,1/1/1995 15:00,triangle,180,I could hear and see it&#44 close encounter.,29.1383333,-83.0352778,1995,15:00
18773,12/18/1995 20:00,triangle,300,Over 28th &amp; Lexington Ave&#44  A Huge&#44 hovering&#44  triangleish shape hovering probably over 1000 feet above crowd including 4 NYC Cops,40.7141667,-74.0063889,1995,20:00
52904,6/30/1995 18:00,circle,120,perfectly round object w/lights around perimeter&#44  large one in cent.&#44 made a  hoovering sound&#44 lights glowed white to yellow to orang,27.8002778,-97.3961111,1995,18:00
53814,6/6/1995 16:00,circle,15,Silver/gray circular object high on horizon,42.8694444,-85.6447222,1995,16:00
38967,4/25/1995 01:30,triangle,300,TRIANGLE flies over I 10 IN AZ.,33.6638889,-114.2291667,1995,01:30
39819,4/30/1995 23:30,circle,900,Observed hundreds of clear orbs in the sky appearing to be looking at me.,42.7325000,-84.5555556,1995,23:30
65257,8/12/1995 20:29,triangle,600,I was out packing groceries in and I noticed a pink colored glow across the street I went in and put groceries down and went out again,48.1988889,-122.1238889,1995,20:29
52902,6/30/1995 13:00,circle,259200,Giant lenticular cloud over music festival,39.2191667,-121.06,1995,13:00
31529,3/15/1995 22:00,triangle,1200,On a night now known as &quot;sightings night&quot; I had just gotten home&#44and got out of car I saw a UFO fly about 20-25 feet over my head.,42.6072222,-83.9294444,1995,22:00
4445,10/25/1995 18:00,triangle,600,Grey Triangular object about 25-30&#39 wide with three very bright white lights&#44 one in center and one on each wing tip&#44 moving at no more,40.5291667,-75.3936111,1995,18:00
